timestamp,symbol,trendscore,supertrend,sma8,sma21
2026-01-26 23:11:26,MORPHOUSDT,65,buy,1.243988,1.243162
2026-01-26 23:11:27,MOVEUSDT,25,sell,0.033851,0.033815
2026-01-26 23:11:27,MOVRUSDT,0,sell,2.292325,2.292624
2026-01-26 23:11:28,MUBARAKUSDT,90,buy,0.018312,0.018289
2026-01-26 23:11:28,MUSDT,5,sell,1.598975,1.601838
2026-01-26 23:11:28,MYXUSDT,0,sell,5.77625,5.780095
2026-01-26 23:11:29,NAORISUSDT,55,buy,0.02607,0.02588
2026-01-26 23:11:29,NEARUSDT,50,sell,1.475437,1.474086
2026-01-26 23:11:30,NEOUSDT,45,buy,3.593875,3.596571
2026-01-26 23:11:30,NEWTUSDT,65,sell,0.097651,0.097259
2026-01-26 23:11:31,NIGHTUSDT,5,sell,0.060621,0.060652
2026-01-26 23:11:31,NILUSDT,5,sell,0.070245,0.070188
2026-01-26 23:11:31,NKNUSDT,40,sell,0.011909,0.011899
2026-01-26 23:11:32,NMRUSDT,100,buy,9.32525,9.302095
2026-01-26 23:11:32,NOMUSDT,55,sell,0.010538,0.010477
2026-01-26 23:11:33,NOTUSDT,90,buy,0.000554,0.000554
2026-01-26 23:11:34,NTRNUSDT,25,sell,0.021171,0.021162
2026-01-26 23:11:35,NXPCUSDT,65,buy,0.371663,0.371195
2026-01-26 23:11:35,OBTUSDT,55,buy,0.00201,0.00201
2026-01-26 23:11:36,OGUSDT,100,buy,3.73475,3.721095
2026-01-26 23:11:36,OLUSDT,80,sell,0.017956,0.017945
2026-01-26 23:11:37,OMUSDT,65,buy,0.065384,0.065311
2026-01-26 23:11:37,ONDOUSDT,50,sell,0.336487,0.336114
2026-01-26 23:11:39,ONGUSDT,35,buy,0.093136,0.093782
2026-01-26 23:11:39,ONTUSDT,25,sell,0.060368,0.060496
2026-01-26 23:11:39,OPENUSDT,95,buy,0.169379,0.168646
2026-01-26 23:11:40,OPUSDT,50,sell,0.299462,0.299252
2026-01-26 23:11:40,ORBSUSDT,25,sell,0.009984,0.009976
2026-01-26 23:11:40,ORCAUSDT,25,sell,1.064637,1.063952
2026-01-26 23:11:41,ORDERUSDT,75,buy,0.079665,0.079514
2026-01-26 23:11:41,ORDIUSDT,90,buy,3.93475,3.931619
2026-01-26 23:11:42,OXTUSDT,80,sell,0.021274,0.021231
2026-01-26 23:11:43,PARTIUSDT,65,buy,0.087853,0.087816
2026-01-26 23:11:44,PEAQUSDT,90,buy,0.026238,0.02622
2026-01-26 23:11:44,PENDLEUSDT,100,buy,1.94205,1.938124
